date,daily_ccy_rank_spread_60,daily_ccy_spread_z_60,daily_ccy_eur_rank_60,daily_ccy_usd_rank_60,daily_ccy_usd_breadth_60,daily_ccy_rank_spread_250,daily_ccy_spread_z_250,daily_ccy_eur_rank_250,daily_ccy_usd_rank_250,daily_ccy_usd_breadth_250,daily_ccy_dispersion_pct
2019-08-07,-0.125,-0.007657613465193586,0.5,0.625,0.5714285714285714,-0.25,-0.39608172416131365,0.5,0.75,0.7142857142857143,0.4288577154308617
2019-08-08,0.125,0.06584616702061952,0.625,0.5,0.42857142857142855,-0.25,-0.4731577081338113,0.5,0.75,0.7142857142857143,0.4909819639278557
2019-08-09,0.125,0.13125048057285166,0.625,0.5,0.42857142857142855,-0.25,-0.5639877403719703,0.5,0.75,0.7142857142857143,0.5811623246492986
2019-08-12,0.125,0.14227590253770056,0.625,0.5,0.42857142857142855,-0.25,-0.6212507882718745,0.5,0.75,0.7142857142857143,0.6292585170340681
2019-08-13,0.125,0.03546024582570825,0.625,0.5,0.42857142857142855,-0.25,-0.98526081385922,0.5,0.75,0.7142857142857143,0.7835671342685371
2019-08-14,-0.125,-0.03589420581302252,0.5,0.625,0.5714285714285714,-0.375,-1.0043300562317832,0.375,0.75,0.7142857142857143,0.8777555110220441
2019-08-15,-0.125,-0.28943815048186794,0.5,0.625,0.5714285714285714,-0.375,-1.0894356823776685,0.375,0.75,0.7142857142857143,0.87374749498998
2019-08-16,-0.125,-0.44558959107363655,0.5,0.625,0.5714285714285714,-0.375,-1.2756331058342025,0.375,0.75,0.7142857142857143,0.8857715430861723
2019-08-19,-0.125,-0.45891640241955967,0.5,0.625,0.5714285714285714,-0.5,-1.4071596759066145,0.375,0.875,0.8571428571428571,0.8817635270541082
2019-08-20,-0.125,-0.2524238787133948,0.5,0.625,0.5714285714285714,-0.5,-1.3966193072645314,0.375,0.875,0.8571428571428571,0.8617234468937875
2019-08-21,-0.125,-0.19335760127850643,0.5,0.625,0.5714285714285714,-0.5,-1.4177924538994848,0.375,0.875,0.8571428571428571,0.8637274549098196
2019-08-22,-0.125,-0.2131882059340411,0.5,0.625,0.5714285714285714,-0.5,-1.4746395271892956,0.375,0.875,0.8571428571428571,0.8957915831663327
2019-08-23,-0.125,-0.124152499480342,0.5,0.625,0.5714285714285714,-0.5,-1.1816395634591057,0.375,0.875,0.8571428571428571,0.9238476953907816
2019-08-26,-0.125,-0.6189578793974495,0.5,0.625,0.5714285714285714,-0.5,-1.3943159941666916,0.375,0.875,0.8571428571428571,0.8997995991983968
2019-08-27,-0.125,-0.653636650302732,0.5,0.625,0.5714285714285714,-0.5,-1.2937851415018748,0.375,0.875,0.8571428571428571,0.9118236472945892
2019-08-28,-0.125,-0.5532985577698116,0.5,0.625,0.5714285714285714,-0.5,-1.3735595678363561,0.375,0.875,0.8571428571428571,0.8957915831663327
2019-08-29,-0.125,-0.84361948351598,0.5,0.625,0.5714285714285714,-0.5,-1.5105806210197716,0.375,0.875,0.8571428571428571,0.8336673346693386
2019-08-30,-0.375,-1.246471839367228,0.5,0.875,0.8571428571428571,-0.5,-1.549236285581789,0.375,0.875,0.8571428571428571,0.7955911823647295
2019-09-02,-0.375,-1.2874855908888134,0.5,0.875,0.8571428571428571,-0.5,-1.5349362029099909,0.375,0.875,0.8571428571428571,0.687374749498998
